name,metric,value
grover,ROC,0
ch07_06_qft_prepare_state,ROC,11
ch05_01_increment,ROC,15
phase_estimation,ROC,0
iae,ROC,3
ch07_01_qft_distinguish,ROC,5
ch02_02_random_byte,ROC,0
ch06_02_grover_freq,ROC,40
ch06_01_grover_iterations,ROC,40
ch07_02_qft_signal,ROC,5
ch07_08_qft_rotating_phases,ROC,0
ipe,ROC,0
qgan,ROC,0
ch03_01_seperable_qubits,ROC,0
shor,ROC,265
qeom,ROC,12
ch03_05_custom_cphase,ROC,2
ch04_02_teleport_fly,ROC,26
ch02_01_random_bit,ROC,0
ch06_03_grover_multi,ROC,44
mlae,ROC,14
ch02_04_spy_hunter,IM,1
ch07_05_qft_freq_to_state,IM,0
ch03_03_phase_kickback,IM,0
ch05_03_add_squared,IM,0
vqe,IM,0
ch07_04_qft_big_sq_wave,IM,0
ch04_01_basic_teleportation,IM,0
ch05_02_quantum_add,IM,0
qsvc,IM,0
vqd,IM,0
vqc,IM,0
ch05_05_conditional_phase,IM,0
ch03_06_remote_random,IM,0
ch07_03_qft_sq_wave,IM,0
ae,IM,0
ch02_03_root_not,IM,0
qaoa,IM,0
ch07_07_qft_freq_manip,IM,0
ch05_06_cnot_logic,IM,1
fae,IM,0
hhl,IM,0
ch05_04_conditional_execution,IM,0
ch03_02_entangled_qubits,IM,0
adapt_vqe,IM,0
ch03_04_swaptest,IM,0
grover,IM,0
ch07_06_qft_prepare_state,IM,0
ch05_01_increment,IM,0
phase_estimation,IM,0
iae,IM,0
ch07_01_qft_distinguish,IM,0
ch02_02_random_byte,IM,0
ch06_02_grover_freq,IM,0
ch06_01_grover_iterations,IM,0
ch07_02_qft_signal,IM,0
ch07_08_qft_rotating_phases,IM,0
ipe,IM,0
qgan,IM,0
ch03_01_seperable_qubits,IM,0
shor,IM,0
qeom,IM,0
ch03_05_custom_cphase,IM,0
ch04_02_teleport_fly,IM,0
ch02_01_random_bit,IM,0
ch06_03_grover_multi,IM,0
mlae,IM,0
ch02_04_spy_hunter,IQ,0
ch07_05_qft_freq_to_state,IQ,0
ch03_03_phase_kickback,IQ,0
ch05_03_add_squared,IQ,9
vqe,IQ,0
ch07_04_qft_big_sq_wave,IQ,1
ch04_01_basic_teleportation,IQ,7
ch05_02_quantum_add,IQ,9
qsvc,IQ,0
vqd,IQ,0
vqc,IQ,0
ch05_05_conditional_phase,IQ,16
ch03_06_remote_random,IQ,2
ch07_03_qft_sq_wave,IQ,1
ae,IQ,0
ch02_03_root_not,IQ,0
qaoa,IQ,0
ch07_07_qft_freq_manip,IQ,0
ch05_06_cnot_logic,IQ,0
fae,IQ,0
hhl,IQ,1
ch05_04_conditional_execution,IQ,15
ch03_02_entangled_qubits,IQ,0
adapt_vqe,IQ,5
ch03_04_swaptest,IQ,3
grover,IQ,1
ch07_06_qft_prepare_state,IQ,3
ch05_01_increment,IQ,4
phase_estimation,IQ,0
iae,IQ,0
ch07_01_qft_distinguish,IQ,0
ch02_02_random_byte,IQ,0
ch06_02_grover_freq,IQ,3
ch06_01_grover_iterations,IQ,3
ch07_02_qft_signal,IQ,1
ch07_08_qft_rotating_phases,IQ,0
ipe,IQ,0
qgan,IQ,0
ch03_01_seperable_qubits,IQ,0
shor,IQ,15650
qeom,IQ,0
ch03_05_custom_cphase,IQ,1
ch04_02_teleport_fly,IQ,406
ch02_01_random_bit,IQ,0
ch06_03_grover_multi,IQ,0
mlae,IQ,0
